"filename", "language", "JavaScript", "JSON", "Markdown", "JavaScript JSX", "PostCSS", "XML", "HTML", "comment", "blank", "total"
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\frontend\src\Components\transporter\Login.jsx", "JavaScript JSX", 0, 0, 0, 110, 0, 0, 0, 0, 17, 127
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\frontend\src\Components\transporter\PostAQuote.jsx", "JavaScript JSX", 0, 0, 0, 114, 0, 0, 0, 0, 24, 138
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\frontend\src\Components\transporter\Signup.jsx", "JavaScript JSX", 0, 0, 0, 135, 0, 0, 0, 0, 18, 153
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\frontend\src\Components\transporter\UploadTransportDetails.jsx", "JavaScript JSX", 0, 0, 0, 183, 0, 0, 0, 0, 21, 204
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\frontend\src\Socket.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 3, 3, 6
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\frontend\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\frontend\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\frontend\src\main.jsx", "JavaScript JSX", 0, 0, 0, 26, 0, 0, 0, 0, 2, 28
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\frontend\src\redux\slices\user.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 7, 40
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\frontend\src\redux\store.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\frontend\util\apiCall.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\frontend\vite.config.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 1, 4, 22
"c:\Users\akshw\OneDrive\Desktop\ExpressJS\Project\package-lock.json", "JSON", 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"Total", "-", 2181, 10214, 7, 2338, 1, 2, 20, 58, 844, 15665
